,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
1199,360610108004.0,[0.1788 0.2107 0.1342 0.4764],[0.1639 0.1158 0.1675 0.1553 0.398 ],[0.0739 0.09   0.0171 0.0986 0.1098 0.0577 0.0725 0.0822 0.0586 0.3386],0.3018,0.24718750000000003,0.27655555555555555
1200,360610108005.0,[0.2164 0.2079 0.1374 0.438 ],[0.1737 0.1946 0.1307 0.1232 0.3775],[0.1355 0.038  0.0847 0.11   0.0559 0.0751 0.0445 0.0788 0.1567 0.2211],0.2508666666666666,0.22206250000000002,0.24794444444444447
1201,360610108006.0,[0.1801 0.2641 0.1733 0.382 ],[0.148  0.1958 0.1632 0.1547 0.3384],[0.0939 0.0536 0.0776 0.1183 0.1009 0.0623 0.0877 0.0668 0.1187 0.2196],0.1951333333333333,0.1729375,0.1753333333333333
1202,360610108007.0,[0.2    0.2346 0.1882 0.3772],[0.1627 0.1808 0.1916 0.1424 0.3229],[0.0897 0.073  0.0585 0.1219 0.0914 0.1005 0.0571 0.0853 0.1009 0.2216],0.16959999999999997,0.15337500000000004,0.16105555555555554
1203,360810001001.0,[0.1158 0.2182 0.1635 0.5024],[0.0961 0.1602 0.1374 0.1519 0.4547],[0.05   0.0462 0.0655 0.0947 0.0778 0.0596 0.0794 0.0722 0.0581 0.3966],0.33659999999999995,0.31818749999999996,0.32949999999999996
1204,360470033002.0,[0.2509 0.3132 0.1986 0.2378],[0.1994 0.273  0.1873 0.1508 0.1895],[0.0969 0.1016 0.1162 0.1569 0.092  0.0953 0.0789 0.0719 0.1084 0.0811],0.08513333333333332,0.09125000000000004,0.09277777777777778
1205,360470246002.0,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
1206,360810214002.0,[0.281 0.311 0.28  0.127],[0.187 0.256 0.303 0.159 0.095],[0.076 0.111 0.145 0.111 0.149 0.153 0.115 0.045 0.058 0.037],0.16333333333333336,0.19874999999999998,0.2044444444444444
1207,360810427001.0,[0. 1. 0. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,0.9999999999999999,1.0000000000000002
1208,360610149001.0,[0.2102 0.2045 0.2222 0.3631],[0.1786 0.1506 0.1815 0.17   0.3191],[0.1084 0.0702 0.0678 0.083  0.0855 0.0962 0.089  0.081  0.1017 0.2171],0.1508,0.149,0.1413888888888889
1209,360610149002.0,[0.1408 0.2204 0.2296 0.4092],[0.1174 0.179  0.1542 0.1732 0.3762],[0.0774 0.0398 0.0739 0.1051 0.0644 0.0899 0.0998 0.0735 0.1128 0.2633],0.2122666666666667,0.22025000000000003,0.2013888888888889
1210,360810853002.0,[0.4516 0.3122 0.1915 0.0446],[0.3468 0.2255 0.2932 0.1063 0.0277],[0.1954 0.1507 0.1603 0.0652 0.1916 0.102  0.061  0.0453 0.0076 0.0201],0.35179999999999995,0.33218749999999997,0.33377777777777773
1211,360610149004.0,[0.2029 0.1453 0.2259 0.4259],[0.1716 0.0857 0.1928 0.1867 0.3625],[0.1082 0.0642 0.0481 0.0383 0.0902 0.1026 0.104  0.0835 0.1547 0.2077],0.23453333333333334,0.20356249999999998,0.19605555555555554
1212,360610149005.0,[0.225  0.227  0.1495 0.3986],[0.1783 0.1789 0.148  0.1363 0.3591],[0.1311 0.0471 0.0988 0.0808 0.0947 0.0536 0.0797 0.0566 0.1125 0.2466],0.1980666666666667,0.19849999999999998,0.21050000000000002
1213,360610149003.0,[0.1879 0.1815 0.2387 0.3917],[0.1451 0.1645 0.1597 0.184  0.347 ],[0.089  0.0561 0.0999 0.0642 0.0601 0.0997 0.1009 0.0835 0.0966 0.2502],0.18906666666666663,0.18356249999999996,0.1677777777777778
1214,360810853001.0,[0.3243 0.3737 0.1635 0.1385],[0.278  0.3221 0.1684 0.1075 0.124 ],[0.1417 0.1363 0.1157 0.2064 0.098  0.0714 0.0511 0.0564 0.0656 0.0575],0.26399999999999996,0.25012500000000004,0.22227777777777774
1215,360811451021.0,[0.258 0.102 0.597 0.043],[0.258 0.04  0.36  0.299 0.043],[0.218 0.04  0.    0.04  0.062 0.299 0.179 0.12  0.021 0.021],0.47333333333333333,0.39625,0.46222222222222215
1216,360471098002.0,[0.004 0.242 0.754 0.   ],[0.004 0.    0.739 0.257 0.   ],[0.004 0.    0.    0.    0.242 0.497 0.257 0.    0.    0.   ],0.672,0.7449999999999999,0.7733333333333335
1217,360470074003.0,[0.066 0.018 0.916 0.   ],[0.027 0.045 0.012 0.916 0.   ],[0.    0.027 0.039 0.006 0.012 0.    0.006 0.91  0.    0.   ],0.888,0.8949999999999999,0.9000000000000001
1218,360810042002.0,[0.333 0.167 0.5   0.   ],[0.167 0.167 0.5   0.167 0.   ],[0.167 0.    0.167 0.    0.167 0.333 0.    0.167 0.    0.   ],0.444,0.37437499999999996,0.5561111111111111
1219,360470287001.0,[0.223 0.23  0.501 0.046],[0.194 0.174 0.296 0.29  0.046],[0.114 0.081 0.076 0.098 0.085 0.211 0.144 0.146 0.032 0.014],0.33466666666666667,0.23249999999999998,0.2383333333333333
