,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
89,155,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
90,156,[0.    0.    0.991 0.009],[0.    0.    0.991 0.    0.009],[0.    0.    0.    0.    0.    0.991 0.    0.    0.009 0.   ],0.9880000000000001,0.9887499999999999,0.9900000000000001
91,157,[0.    0.981 0.006 0.012],[0.    0.    0.987 0.    0.013],[0.    0.    0.    0.    0.981 0.006 0.    0.    0.013 0.   ],0.9753333333333334,0.9837499999999999,0.978888888888889
92,158,[0.003 0.082 0.894 0.021],[0.    0.003 0.976 0.    0.021],[0.    0.    0.003 0.    0.082 0.894 0.    0.    0.019 0.003],0.8586666666666667,0.97,0.8816666666666666
93,159,[0.001 0.005 0.815 0.178],[0.    0.001 0.82  0.    0.178],[0.    0.    0.001 0.    0.005 0.815 0.    0.    0.178 0.   ],0.754,0.7756249999999999,0.8816666666666667
94,160,[0.    0.499 0.365 0.136],[0.    0.    0.864 0.    0.136],[0.    0.    0.    0.    0.499 0.365 0.    0.    0.131 0.005],0.48533333333333334,0.83,0.7722222222222223
95,161,[0.11  0.046 0.498 0.346],[0.    0.11  0.545 0.    0.346],[0.    0.    0.11  0.    0.046 0.498 0.    0.    0.33  0.016],0.4586666666666667,0.6131249999999999,0.7088888888888889
96,162,[0.04  0.065 0.411 0.483],[0.    0.04  0.477 0.    0.483],[0.    0.    0.04  0.    0.065 0.411 0.    0.    0.449 0.034],0.526,0.6999999999999998,0.7338888888888888
97,163,[0.    0.019 0.487 0.494],[0.    0.    0.506 0.    0.494],[0.    0.    0.    0.    0.019 0.487 0.    0.    0.494 0.   ],0.6413333333333333,0.7499999999999999,0.8677777777777779
98,164,[0.    0.311 0.279 0.411],[0.    0.    0.589 0.    0.411],[0.    0.    0.    0.    0.311 0.279 0.    0.    0.411 0.   ],0.334,0.7499999999999998,0.7783333333333334
99,165,[0.    0.412 0.353 0.235],[0.    0.    0.765 0.    0.235],[0.    0.    0.    0.    0.412 0.353 0.    0.    0.235 0.   ],0.3533333333333333,0.7499999999999999,0.7777777777777778
100,166,[0.218 0.015 0.283 0.484],[0.    0.218 0.298 0.    0.484],[0.    0.    0.218 0.    0.015 0.283 0.    0.    0.484 0.   ],0.35600000000000004,0.5,0.7611111111111112
101,167,[0.074 0.111 0.301 0.514],[0.    0.074 0.412 0.    0.514],[0.    0.    0.074 0.    0.111 0.301 0.    0.    0.514 0.   ],0.42,0.6575,0.6955555555555557
102,168,[0.    0.037 0.574 0.389],[0.    0.    0.611 0.    0.389],[0.    0.    0.    0.    0.037 0.574 0.    0.    0.046 0.343],0.6173333333333333,0.7499999999999999,0.7966666666666667
